DATE,CNX,TATA AUTO,HDFC,LARSEN,TKK,DABUR,SUN,WIPRO,TATA STEEL,INDIAN,NTPC,BHARTI
2008-07-29T00:00:00Z,3350.449951,57.9123,179.5,764.4286,108.84,40.1372,103.109,209.965,487.1241,159.2263,148.7,375.703
2008-07-30T00:00:00Z,3449.75,62.3773,190.98,777.4717,105.21,40.80989,104.988,221.427,525.2107,169.2835,142.37,391.579
2008-07-31T00:00:00Z,3456.699951,60.4174,188.95,782.1093,107.07,40.6305,103.12,214.133,545.9624,164.4992,141.91,384.779
2008-08-01T00:00:00Z,3524.25,58.207,196.17,807.4281,106.61,40.47354,105.987,226.585,566.5474,170.6069,147.28,395.694
2008-08-04T00:00:00Z,3531.149902,58.2217,192.98,797.6881,105.58,41.25835,105.285,224.292,576.3816,174.8822,145.57,395.984
2008-08-05T00:00:00Z,3615.899902,60.4248,206.66,809.9351,107.35,41.03412,106.352,232.107,563.2972,177.1217,152.28,409.077
2008-08-06T00:00:00Z,3618.600098,62.9225,214.87,828.8305,107.21,40.22689,105.193,236.536,538.2951,179.9719,150.45,420.621
2008-08-07T00:00:00Z,3625.699951,66.1644,219.8,828.0498,107.54,40.45112,105.785,232.889,537.2116,180.6641,152.94,413.772
2008-08-08T00:00:00Z,3635,65.0666,223.45,851.3883,109.68,40.51839,105.31,227.158,543.7955,176.1037,154.07,406.729
2008-08-11T00:00:00Z,3707.800049,65.7592,228.7,868.2576,110.94,41.03412,105.306,230.18,537.3783,180.7863,154.78,409.222
2008-08-12T00:00:00Z,3656.100098,64.234,221.17,854.1952,110.01,40.15962,104.575,225.178,506.6258,182.415,154.24,398.791
2008-08-13T00:00:00Z,3637.699951,63.7403,213.49,836.8604,115.45,40.49596,105.065,225.595,508.7093,184.4508,155.28,400.292
2008-08-14T00:00:00Z,3551.300049,63.7035,207.27,798.7985,114.61,40.67535,105.87,222.26,513.793,179.3611,151.2,395.452
2008-08-18T00:00:00Z,3519.300049,62.6278,210.49,808.9742,113.82,42.8728,107.105,225.074,502.3754,178.7911,150.24,387.901
2008-08-19T00:00:00Z,3500.75,62.1415,211.28,802.9859,114.61,40.45112,107.219,226.428,498.3751,179.2797,151.4,383.448
2008-08-20T00:00:00Z,3536.899902,62.8488,218.07,828.9521,116.38,41.66196,110.067,225.933,504.7923,177.0402,153.19,396.42
2008-08-21T00:00:00Z,3434,61.0878,204.89,802.3749,114.06,38.85908,106.074,218.874,489.791,168.1434,144.53,386.957
2008-08-22T00:00:00Z,3459.75,63.0772,209.11,795.3077,119.18,40.1372,106.001,216.998,494.8748,161.2418,142.07,391.144
2008-08-25T00:00:00Z,3467.399902,63.8067,211.96,796.208,121.97,40.36143,115.852,217.806,487.7075,163.6849,142.45,394.725
2008-08-26T00:00:00Z,3468.899902,63.8729,219.46,799.4751,146.74,40.80989,117.437,223.563,481.5403,163.3184,143.36,392.136
2008-08-27T00:00:00Z,3435.25,62.4067,217.67,786.8959,149.9,40.47354,116.814,222.99,484.4572,162.4633,142.7,391.144
2008-08-28T00:00:00Z,3376.800049,60.5648,214.87,763.5097,148.97,40.47354,115.632,214.654,476.7066,160.0203,142.03,389.595
2008-08-29T00:00:00Z,3489.050049,65.1329,224.15,791.8876,148.04,40.89958,116.349,225.855,500.6253,164.092,146.38,406.149
2008-09-01T00:00:00Z,3481.550049,64.5435,228.79,783.4465,157.35,41.93104,118.903,226.533,486.8741,162.0561,144.96,394.968
2008-09-02T00:00:00Z,3599.699951,63.2172,233.14,820.6017,158.28,43.56792,120.709,234.504,491.1244,175.0858,148.26,404.188
